state,year,suicidal_thoughts,suicidal_thoughts_lag1
Kentucky,2016,50.5,40.75
Kentucky,2017,48.583333333333336,50.5
Kentucky,2018,46.916666666666664,48.583333333333336
Kentucky,2019,51.0,46.916666666666664
Kentucky,2020,40.5,51.0
Kentucky,2021,36.416666666666664,40.5
Kentucky,2022,42.0,36.416666666666664
Kentucky,2023,35.083333333333336,42.0
Louisiana,2013,64.5,
Louisiana,2014,67.58333333333333,64.5
Louisiana,2015,32.0,67.58333333333333
Louisiana,2016,48.75,32.0
Louisiana,2017,49.0,48.75
Louisiana,2018,48.583333333333336,49.0
Louisiana,2019,35.25,48.583333333333336
Louisiana,2020,40.5,35.25
Louisiana,2021,33.083333333333336,40.5
Louisiana,2022,38.916666666666664,33.083333333333336
Louisiana,2023,32.25,38.916666666666664
Maine,2013,0.0,
Maine,2014,0.0,0.0
Maine,2015,0.0,0.0
Maine,2016,0.0,0.0
Maine,2017,21.583333333333332,0.0
Maine,2018,7.25,21.583333333333332
Maine,2019,6.083333333333333,7.25
Maine,2020,4.416666666666667,6.083333333333333
Maine,2021,0.0,4.416666666666667
Maine,2022,10.0,0.0
Maine,2023,4.583333333333333,10.0
Maryland,2013,69.25,
Maryland,2014,70.16666666666667,69.25
Maryland,2015,60.083333333333336,70.16666666666667
Maryland,2016,50.833333333333336,60.083333333333336
Maryland,2017,51.5,50.833333333333336
Maryland,2018,59.75,51.5
Maryland,2019,48.833333333333336,59.75
Maryland,2020,43.166666666666664,48.833333333333336
Maryland,2021,42.75,43.166666666666664
Maryland,2022,45.666666666666664,42.75
Maryland,2023,40.333333333333336,45.666666666666664
Massachusetts,2013,79.08333333333333,
Massachusetts,2014,71.33333333333333,79.08333333333333
Massachusetts,2015,61.416666666666664,71.33333333333333
Massachusetts,2016,55.416666666666664,61.416666666666664
Massachusetts,2017,57.333333333333336,55.416666666666664
Massachusetts,2018,59.25,57.333333333333336
Massachusetts,2019,50.25,59.25
Massachusetts,2020,39.25,50.25
Massachusetts,2021,44.25,39.25
Massachusetts,2022,40.0,44.25
Massachusetts,2023,38.833333333333336,40.0
Michigan,2013,76.5,
Michigan,2014,79.16666666666667,76.5
Michigan,2015,76.66666666666667,79.16666666666667
Michigan,2016,66.58333333333333,76.66666666666667
Michigan,2017,63.083333333333336,66.58333333333333
Michigan,2018,68.33333333333333,63.083333333333336
Michigan,2019,60.083333333333336,68.33333333333333
Michigan,2020,46.75,60.083333333333336
Michigan,2021,50.25,46.75
Michigan,2022,52.166666666666664,50.25
Michigan,2023,47.75,52.166666666666664
Minnesota,2013,61.0,
Minnesota,2014,64.66666666666667,61.0
Minnesota,2015,60.0,64.66666666666667
Minnesota,2016,48.583333333333336,60.0
Minnesota,2017,54.833333333333336,48.583333333333336
Minnesota,2018,56.833333333333336,54.833333333333336
Minnesota,2019,49.166666666666664,56.833333333333336
Minnesota,2020,43.416666666666664,49.166666666666664
Minnesota,2021,48.25,43.416666666666664
Minnesota,2022,41.416666666666664,48.25
Minnesota,2023,40.333333333333336,41.416666666666664
Mississippi,2013,15.833333333333334,
Mississippi,2014,24.333333333333332,15.833333333333334
Mississippi,2015,7.666666666666667,24.333333333333332
Mississippi,2016,8.833333333333334,7.666666666666667
Mississippi,2017,23.75,8.833333333333334
Mississippi,2018,30.0,23.75
Mississippi,2019,26.5,30.0
Mississippi,2020,12.75,26.5
Mississippi,2021,16.0,12.75
Mississippi,2022,25.416666666666668,16.0
Mississippi,2023,27.916666666666668,25.416666666666668
Missouri,2013,56.5,
Missouri,2014,57.583333333333336,56.5
Missouri,2015,52.583333333333336,57.583333333333336
Missouri,2016,48.166666666666664,52.583333333333336
Missouri,2017,49.416666666666664,48.166666666666664
Missouri,2018,49.833333333333336,49.416666666666664
Missouri,2019,44.25,49.833333333333336
Missouri,2020,34.5,44.25
Missouri,2021,37.5,34.5
Missouri,2022,34.833333333333336,37.5
Missouri,2023,35.833333333333336,34.833333333333336
Montana,2013,0.0,
Montana,2014,0.0,0.0
Montana,2015,0.0,0.0
Montana,2016,0.0,0.0
Montana,2017,8.333333333333334,0.0
Montana,2018,0.0,8.333333333333334
Montana,2019,7.166666666666667,0.0
Montana,2020,6.833333333333333,7.166666666666667
Montana,2021,0.0,6.833333333333333
Montana,2022,0.0,0.0
Montana,2023,0.0,0.0
Nebraska,2013,15.5,
Nebraska,2014,0.0,15.5
Nebraska,2015,0.0,0.0
Nebraska,2016,26.166666666666668,0.0
Nebraska,2017,33.833333333333336,26.166666666666668
Nebraska,2018,38.583333333333336,33.833333333333336
Nebraska,2019,22.75,38.583333333333336
Nebraska,2020,25.0,22.75
Nebraska,2021,16.833333333333332,25.0
Nebraska,2022,12.083333333333334,16.833333333333332
Nebraska,2023,13.916666666666666,12.083333333333334
Nevada,2013,44.583333333333336,
Nevada,2014,54.166666666666664,44.583333333333336
Nevada,2015,42.583333333333336,54.166666666666664
Nevada,2016,40.0,42.583333333333336
Nevada,2017,50.75,40.0
Nevada,2018,48.25,50.75
Nevada,2019,39.833333333333336,48.25
Nevada,2020,35.0,39.833333333333336
Nevada,2021,35.583333333333336,35.0
Nevada,2022,35.583333333333336,35.583333333333336
Nevada,2023,21.5,35.583333333333336
New Hampshire,2013,0.0,
New Hampshire,2014,8.333333333333334,0.0
New Hampshire,2015,0.0,8.333333333333334
New Hampshire,2016,0.0,0.0
New Hampshire,2017,13.083333333333334,0.0
New Hampshire,2018,17.333333333333332,13.083333333333334
New Hampshire,2019,5.583333333333333,17.333333333333332
New Hampshire,2020,4.416666666666667,5.583333333333333
New Hampshire,2021,0.0,4.416666666666667
New Hampshire,2022,0.0,0.0
New Hampshire,2023,0.0,0.0
New Jersey,2013,75.66666666666667,
New Jersey,2014,72.08333333333333,75.66666666666667
New Jersey,2015,56.583333333333336,72.08333333333333
New Jersey,2016,53.75,56.583333333333336
New Jersey,2017,51.916666666666664,53.75
New Jersey,2018,51.0,51.916666666666664
New Jersey,2019,46.916666666666664,51.0
New Jersey,2020,32.583333333333336,46.916666666666664
New Jersey,2021,35.416666666666664,32.583333333333336
New Jersey,2022,38.083333333333336,35.416666666666664
New Jersey,2023,37.0,38.083333333333336
New Mexico,2013,14.083333333333334,
New Mexico,2014,5.416666666666667,14.083333333333334
New Mexico,2015,14.583333333333334,5.416666666666667
New Mexico,2016,32.75,14.583333333333334
New Mexico,2017,21.583333333333332,32.75
New Mexico,2018,34.0,21.583333333333332
New Mexico,2019,20.25,34.0
New Mexico,2020,5.666666666666667,20.25
New Mexico,2021,3.0833333333333335,5.666666666666667
New Mexico,2022,3.25,3.0833333333333335
New Mexico,2023,10.916666666666666,3.25
New York,2013,74.08333333333333,
New York,2014,70.0,74.08333333333333
New York,2015,63.583333333333336,70.0
New York,2016,51.583333333333336,63.583333333333336
New York,2017,51.416666666666664,51.583333333333336
New York,2018,54.0,51.416666666666664
New York,2019,42.916666666666664,54.0
New York,2020,36.833333333333336,42.916666666666664
New York,2021,33.666666666666664,36.833333333333336
New York,2022,36.833333333333336,33.666666666666664
New York,2023,30.916666666666668,36.833333333333336
North Carolina,2013,62.75,
North Carolina,2014,65.33333333333333,62.75
North Carolina,2015,57.166666666666664,65.33333333333333
North Carolina,2016,52.5,57.166666666666664
North Carolina,2017,52.833333333333336,52.5
North Carolina,2018,55.75,52.833333333333336
North Carolina,2019,48.75,55.75
North Carolina,2020,38.916666666666664,48.75
North Carolina,2021,38.416666666666664,38.916666666666664
North Carolina,2022,42.916666666666664,38.416666666666664
North Carolina,2023,34.333333333333336,42.916666666666664
Ohio,2013,63.25,
Ohio,2014,65.5,63.25
Ohio,2015,55.75,65.5
Ohio,2016,52.583333333333336,55.75
Ohio,2017,52.833333333333336,52.583333333333336
Ohio,2018,55.0,52.833333333333336
Ohio,2019,51.75,55.0
Ohio,2020,38.583333333333336,51.75
Ohio,2021,39.25,38.583333333333336
Ohio,2022,41.25,39.25
Ohio,2023,36.083333333333336,41.25
Oklahoma,2013,42.333333333333336,
Oklahoma,2014,61.583333333333336,42.333333333333336
Oklahoma,2015,57.083333333333336,61.583333333333336
Oklahoma,2016,51.0,57.083333333333336
Oklahoma,2017,40.333333333333336,51.0
Oklahoma,2018,57.75,40.333333333333336
Oklahoma,2019,44.75,57.75
Oklahoma,2020,45.75,44.75
Oklahoma,2021,43.583333333333336,45.75
Oklahoma,2022,29.333333333333332,43.583333333333336
Oklahoma,2023,36.583333333333336,29.333333333333332
Oregon,2013,33.333333333333336,
Oregon,2014,34.25,33.333333333333336
Oregon,2015,47.833333333333336,34.25
Oregon,2016,49.5,47.833333333333336
Oregon,2017,52.833333333333336,49.5
Oregon,2018,64.66666666666667,52.833333333333336
Oregon,2019,55.25,64.66666666666667
Oregon,2020,41.666666666666664,55.25
Oregon,2021,44.166666666666664,41.666666666666664
Oregon,2022,48.083333333333336,44.166666666666664
Oregon,2023,31.583333333333332,48.083333333333336
Pennsylvania,2013,76.75,
Pennsylvania,2014,69.16666666666667,76.75
Pennsylvania,2015,56.416666666666664,69.16666666666667
Pennsylvania,2016,61.25,56.416666666666664
Pennsylvania,2017,55.916666666666664,61.25
Pennsylvania,2018,56.5,55.916666666666664
Pennsylvania,2019,50.833333333333336,56.5
Pennsylvania,2020,42.75,50.833333333333336
Pennsylvania,2021,40.166666666666664,42.75
Pennsylvania,2022,41.583333333333336,40.166666666666664
Pennsylvania,2023,41.0,41.583333333333336
Rhode Island,2013,14.083333333333334,
Rhode Island,2014,0.0,14.083333333333334
Rhode Island,2015,11.666666666666666,0.0
Rhode Island,2016,4.833333333333333,11.666666666666666
Rhode Island,2017,0.0,4.833333333333333
Rhode Island,2018,4.083333333333333,0.0
Rhode Island,2019,9.083333333333334,4.083333333333333
Rhode Island,2020,5.666666666666667,9.083333333333334
Rhode Island,2021,0.0,5.666666666666667
Rhode Island,2022,5.75,0.0
Rhode Island,2023,0.0,5.75
South Carolina,2013,61.416666666666664,
South Carolina,2014,79.25,61.416666666666664
South Carolina,2015,53.333333333333336,79.25
South Carolina,2016,44.5,53.333333333333336
South Carolina,2017,61.5,44.5
South Carolina,2018,50.416666666666664,61.5
South Carolina,2019,56.416666666666664,50.416666666666664
South Carolina,2020,39.0,56.416666666666664
South Carolina,2021,38.833333333333336,39.0
South Carolina,2022,32.416666666666664,38.833333333333336
South Carolina,2023,35.416666666666664,32.416666666666664
South Dakota,2013,8.333333333333334,
South Dakota,2014,0.0,8.333333333333334
South Dakota,2015,0.0,0.0
South Dakota,2016,0.0,0.0
South Dakota,2017,0.0,0.0
South Dakota,2018,0.0,0.0
South Dakota,2019,0.0,0.0
South Dakota,2020,0.0,0.0
South Dakota,2021,0.0,0.0
South Dakota,2022,0.0,0.0
South Dakota,2023,0.0,0.0
Tennessee,2013,64.58333333333333,
Tennessee,2014,72.16666666666667,64.58333333333333
Tennessee,2015,59.916666666666664,72.16666666666667
Tennessee,2016,56.5,59.916666666666664
Tennessee,2017,57.833333333333336,56.5
Tennessee,2018,60.0,57.833333333333336
Tennessee,2019,55.666666666666664,60.0
Tennessee,2020,44.75,55.666666666666664
Tennessee,2021,42.166666666666664,44.75
Tennessee,2022,39.083333333333336,42.166666666666664
Tennessee,2023,39.333333333333336,39.083333333333336
Texas,2013,79.58333333333333,
Texas,2014,82.66666666666667,79.58333333333333
Texas,2015,70.41666666666667,82.66666666666667
Texas,2016,61.666666666666664,70.41666666666667
Texas,2017,59.416666666666664,61.666666666666664
Texas,2018,64.0,59.416666666666664
Texas,2019,55.333333333333336,64.0
Texas,2020,47.0,55.333333333333336
Texas,2021,45.083333333333336,47.0
Texas,2022,45.583333333333336,45.083333333333336
Texas,2023,41.416666666666664,45.583333333333336
Utah,2013,40.25,
Utah,2014,26.416666666666668,40.25
Utah,2015,30.166666666666668,26.416666666666668
Utah,2016,39.583333333333336,30.166666666666668
Utah,2017,53.166666666666664,39.583333333333336
Utah,2018,52.25,53.166666666666664
Utah,2019,51.0,52.25
Utah,2020,38.75,51.0
Utah,2021,42.5,38.75
Utah,2022,38.833333333333336,42.5
Utah,2023,44.083333333333336,38.833333333333336
Vermont,2013,0.0,
Vermont,2014,0.0,0.0
Vermont,2015,0.0,0.0
Vermont,2016,0.0,0.0
Vermont,2017,0.0,0.0
Vermont,2018,0.0,0.0
Vermont,2019,0.0,0.0
Vermont,2020,0.0,0.0
Vermont,2021,0.0,0.0
Vermont,2022,0.0,0.0
Vermont,2023,8.333333333333334,0.0
Virginia,2013,80.83333333333333,
Virginia,2014,62.083333333333336,80.83333333333333
Virginia,2015,51.416666666666664,62.083333333333336
Virginia,2016,60.75,51.416666666666664
Virginia,2017,61.916666666666664,60.75
Virginia,2018,67.33333333333333,61.916666666666664
Virginia,2019,62.833333333333336,67.33333333333333
Virginia,2020,53.25,62.833333333333336
Virginia,2021,50.916666666666664,53.25
Virginia,2022,47.75,50.916666666666664
Virginia,2023,43.166666666666664,47.75
Washington,2013,76.33333333333333,
Washington,2014,73.0,76.33333333333333
Washington,2015,66.0,73.0
Washington,2016,70.66666666666667,66.0
Washington,2017,69.33333333333333,70.66666666666667
Washington,2018,69.75,69.33333333333333
Washington,2019,70.83333333333333,69.75
Washington,2020,53.0,70.83333333333333
Washington,2021,55.5,53.0
Washington,2022,53.166666666666664,55.5
Washington,2023,49.416666666666664,53.166666666666664
West Virginia,2013,8.333333333333334,
West Virginia,2014,6.916666666666667,8.333333333333334
West Virginia,2015,15.583333333333334,6.916666666666667
West Virginia,2016,22.5,15.583333333333334
West Virginia,2017,10.583333333333334,22.5
West Virginia,2018,19.75,10.583333333333334
West Virginia,2019,11.666666666666666,19.75
West Virginia,2020,17.666666666666668,11.666666666666666
West Virginia,2021,8.583333333333334,17.666666666666668
West Virginia,2022,0.0,8.583333333333334
West Virginia,2023,0.0,0.0
Wisconsin,2013,64.66666666666667,
Wisconsin,2014,61.333333333333336,64.66666666666667
Wisconsin,2015,49.833333333333336,61.333333333333336
Wisconsin,2016,50.25,49.833333333333336
Wisconsin,2017,48.416666666666664,50.25
Wisconsin,2018,48.416666666666664,48.416666666666664
Wisconsin,2019,48.0,48.416666666666664
Wisconsin,2020,38.666666666666664,48.0
Wisconsin,2021,43.083333333333336,38.666666666666664
Wisconsin,2022,35.0,43.083333333333336
Wisconsin,2023,34.583333333333336,35.0
Wyoming,2013,0.0,
Wyoming,2014,0.0,0.0
Wyoming,2015,0.0,0.0
Wyoming,2016,8.333333333333334,0.0
Wyoming,2017,0.0,8.333333333333334
Wyoming,2018,0.0,0.0
Wyoming,2019,0.0,0.0
Wyoming,2020,0.0,0.0
Wyoming,2021,0.0,0.0
Wyoming,2022,4.333333333333333,0.0
Wyoming,2023,0.0,4.333333333333333
